AO-nr.;AO-type;Oppgave/feilbeskrivelse;Reg.nr.;Utstyrsgruppe;Modell;Seneste PV;Neste PV;Oppdatert;Oppdatert av Sign;Reg. dato;Ferdig;Sign;Teknisk beskrivelse;Plassering (utstyr);Gruppe;Kundekode;Kunde;Sak;Kundetekst;Totalt;Nedetid;Plassering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST007934;Normal/Akutt;Feil melding om O2 inop;007055;Anestesi, arbeidsstasjon, ordinær;8601110;01.06.2012;;;;03.04.2001;03.04.2001;Bjarte Nærland (nebj);Skiftet O2 cellen den gamle cellen hadde nr.ARPF-1694. En måtte rekalibrere Julian etter en hadde skiftet cellen.;"Eigersund kirurgisk pol. ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;125,00;0,00;"Eigersund kirurgisk pol. ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008362;Normal/Akutt;Ga ikke ut gass under en operasjon  Oksygenflush virker ikke;007056;Anestesi, arbeidsstasjon, ordinær;8601110;;;;;12.07.2001;12.07.2001;Morten Ruud (rumo);"Testet apparatet, feilsøkt.  Fra servicemeny kunne vi se at ventil som veksler mellom eksternt og internt hadde sviktet en gang den 12/7.  Bestillt denne fra Tore.
Byttet ventil. Sendt tilbake til Däger.  Garanti.
 Testet OK.";"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;4204942;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;1 125,00;0,00;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008713;Normal/Akutt;FV;007062;Anestesi, arbeidsstasjon, ordinær;8601110;;;;;17.08.2001;01.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008714;Normal/Akutt;FV;007052;Anestesi, arbeidsstasjon, ordinær;8601110;09.08.2011;;;;17.08.2001;01.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008715;Normal/Akutt;FV;007053;Anestesi, arbeidsstasjon, ordinær;8601110;24.06.2011;;;;17.08.2001;01.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008717;Normal/Akutt;FV;007049;Anestesi, arbeidsstasjon, ordinær;8601110;24.06.2011;;;;17.08.2001;01.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008719;Normal/Akutt;FV;007054;Anestesi, arbeidsstasjon, ordinær;8601110;;;;;17.08.2001;01.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008733;Normal/Akutt;FV;007056;Anestesi, arbeidsstasjon, ordinær;8601110;;;;;17.08.2001;03.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;4204942;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008735;Normal/Akutt;FV;007055;Anestesi, arbeidsstasjon, ordinær;8601110;01.06.2012;;;;17.08.2001;03.10.2001;Morten Ruud (rumo);"FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice. 
Byttet sekret-sug injector.
 Se perm for servicerapport.";"Eigersund kirurgisk pol. ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Eigersund kirurgisk pol. ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008736;Normal/Akutt;FV;007057;Anestesi, arbeidsstasjon, ordinær;8601110;24.06.2011;;;;17.08.2001;03.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;4204942;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008737;Normal/Akutt;FV;007058;Anestesi, arbeidsstasjon, ordinær;8601110;;;;;17.08.2001;03.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008738;Normal/Akutt;FV;007263;Anestesi, arbeidsstasjon, ordinær;8601110;01.06.2012;;;;17.08.2001;03.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Eigersund kirurgisk pol. ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Eigersund kirurgisk pol. ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008740;Normal/Akutt;FV;007051;Anestesi, arbeidsstasjon, ordinær;8601110;;;;;17.08.2001;03.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008741;Normal/Akutt;FV;007059;Anestesi, arbeidsstasjon, ordinær;8601110;;;;;17.08.2001;03.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008742;Normal/Akutt;FV;007061;Anestesi, arbeidsstasjon, ordinær;8601110;;;;;17.08.2001;03.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008743;Normal/Akutt;FV;007060;Anestesi, arbeidsstasjon, ordinær;8601110;;;;;17.08.2001;03.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;4204942;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008744;Normal/Akutt;FV;007050;Anestesi, arbeidsstasjon, ordinær;8601110;24.06.2011;;;;17.08.2001;03.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008745;Normal/Akutt;FV;006898;Anestesi, arbeidsstasjon, ordinær;8601110;;;;;17.08.2001;03.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST008746;Normal/Akutt;FV;006897;Anestesi, arbeidsstasjon, ordinær;8601110;24.06.2011;;;;17.08.2001;03.10.2001;Morten Ruud (rumo);FV:  Ny software ver. 3.02  IRIA 3.01, IDM 26 modifikasjon,, friskgass ombygging og årsservice.  Se perm for servicerapport.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST009085;Normal/Akutt;Stopper i selvtest 9,  MA0080  SW0000;007263;Anestesi, arbeidsstasjon, ordinær;8601110;01.06.2012;;;;20.03.2001;13.12.2001;Morten Ruud (rumo);Tore i Dräger: Feilsøkt på EDOS.  Skiftet ZW2 (N2O) Kjørt selvtest mange ganger.  OK;"Eigersund kirurgisk pol. ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Eigersund kirurgisk pol. ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST009278;Normal/Akutt;Under selv testen får en opp følgende feilmeldinger: Tett Y-stykke, Sjekk gass tilførselen.;007049;Anestesi, arbeidsstasjon, ordinær;8601110;24.06.2011;;;;31.01.2002;31.01.2002;Bjarte Nærland (nebj);Sjekket vann fellen og samplings slangen uten at dette hjalp noe. Skiftet sirkel systemet og da gikk apparatet gjennom sjøl testen. Demonterte sirkel blokken og fant at den ikke var montert korrekt etter vask. Prøvde sirkel blokken igjenn med ok resultat.;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;320,00;0,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST009279;Normal/Akutt;Teksten på apparatet er på engelsk, og apparatet kommer ikke gjennom selv testen.;007062;Anestesi, arbeidsstasjon, ordinær;8601110;;;;;29.01.2002;31.01.2002;Bjarte Nærland (nebj);Skiftet back-up batteriet. Konfigurerte apparatet på nytt. Null kalibrerte trykket. Kjørte selv testen på apparatet. Alt ser ut til å fungere bra nå. Draeger sier at det er en produksjons feil på cpu-kortene som er årsaken til at back -up batteriene må skiftes. Firma kommer med tilbake melding om ca. 3-uker om hva som skjer videre med dette. (modifikasjon fra firma);"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;53,00;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST009357;Normal/Akutt;Apparatet har mistet konfigureringen p.g.a at back up batteriet er dødt.;007060;Anestesi, arbeidsstasjon, ordinær;8601110;;;;;12.02.2002;13.02.2002;Bjarte Nærland (nebj);Skiftet back up batteriet. Konfigurerte maskinen på nytt. Null kalibrerte O2 trykket.;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;4204942;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;400,00;1,00;"Seksjon Øst ; Anestesisykepleie ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST009519;Normal/Akutt;Problemer med å nullstille seg.;007055;Anestesi, arbeidsstasjon, ordinær;8601110;01.06.2012;;;;01.03.2002;04.03.2002;Morten Ruud (rumo);Infolog: 6026:  Problemer med å nullstille seg (IRIA).  Byttet IRIA-modul (med Ohmeda vannfelle).  Testet OK.;"Eigersund kirurgisk pol. ; Helse Stavanger HF ; Helse Vest RHF";;115114;"Generell anestesi ; Anestesiavdelingen ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;1 600,00;72,00;"Eigersund kirurgisk pol. ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
