AO-nr.;AO-type;Oppgave/feilbeskrivelse;Reg.nr.;Utstyrsgruppe;Modell;Seneste PV;Neste PV;Oppdatert;Oppdatert av Sign;Reg. dato;Ferdig;Sign;Teknisk beskrivelse;Plassering (utstyr);Gruppe;Kundekode;Kunde;Sak;Kundetekst;Totalt;Nedetid;Plassering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST001514;Normal/Akutt;;001981;Diatermi, universal, komplett;Surgistat;;;;;05.09.1994;05.09.1994;Rune Aalberg (aaruau);"VILLE IKKE FUNGERE UNDER BRUK VED HALSOPERASJON.  PUSSET BEDRITNE (SOTETE)    
BANANPLUGGER. TESTET PÅ DIATERMITESTER OG FUNNET I ORDEN.";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;68,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST001515;Normal/Akutt;;001981;Diatermi, universal, komplett;Surgistat;;;;;10.01.1994;10.01.1994;Rune Aalberg (aaruau);LYSER RØDT/BLINKER PÅ NØYTRALPLATE.  TESTET OG FUNNET I ORDEN.;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;116,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST001516;Normal/Akutt;;001981;Diatermi, universal, komplett;Surgistat;;;;;16.02.1994;16.02.1994;Rune Otto Andreassen (ANRO);"LYSER RØDT, BLINKER PÅ NØYTRAL-PLATE. UVANLIG DUR VED BRUK. MTA: RARE       
SIGNAL, LUKTER NOE SVIDD VED BRUK REP. HOS FIRMA: LODDET VAKKEL. MTA: TESTET  
OG SJEKKET IFØLGE PROSEDYRE FOR FOREBYGGENDE VEDLIKEHOLD.";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST001517;Normal/Akutt;;001981;Diatermi, universal, komplett;Surgistat;;;;;30.04.1996;30.04.1996;Rune Otto Andreassen (ANRO);"LF-LEKKSTRØM, SENERE MINKENDE UTEFFEKT VED AKTIVERING OVER TID, SIKRING (10A) 
RØK --> INGEN UTEFFEKT. UTFØRT AV FIRMA VED ATLE AABREKK: SKIFTET HELE        
MASTER- BOARD, DA FLERE PRINTBANER VAR BORTBRENT SKIFTET T202 PÅ              
OUTPUT-BOARD, SKIFTET Q301 SKIFTET PLASTPLATE PÅ FRONT SENDT AV RUNE OTTO. SE 
FORØVRIG REP.RAPPORT.   TESTET VED ANKOMST --> OK!";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST002178;Normal/Akutt;;003141;Diatermi, universal, komplett;ORIGINAL APPARAT;;;;;08.01.1996;08.01.1996;Aravinth Sivanesan (siarir);GIR IKKE UTSLAG.  SKIFTET BATTERI;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;3,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST002864;Normal/Akutt;;003721;Diatermi, endoskopisk, komplett;PSD-10;;;;;24.04.1992;24.04.1992;* Originale data (!SYS);"LYSTE PÅ FAULT, UNDER TEST MED TESTLEDNING.  VÆRT HOS OLYMPUS-FABRIKKEN I     
TYSKLAND FOR REP. SIKKERHETS OG FUNKSJONSKONTROLLERT, FUNNET OK.";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;105395;"Kirurgisk gastropol ; Gastroenterologisk kirurgisk avdeling ; Klinikk for kirurgi, nevrologi og rehabilitering ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST002865;Normal/Akutt;;003722;Diatermi, endoskopisk, komplett;PSD-10;;;;;20.02.1995;20.02.1995;* Espen HELLANG (EH);"LAV EFFEKT  JUSTERT OPP EFFEKT MED R125 OG R117 GIR NÅ DEN EFFEKTEN SOM ER    
SPESIFISERT";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;105395;"Kirurgisk gastropol ; Gastroenterologisk kirurgisk avdeling ; Klinikk for kirurgi, nevrologi og rehabilitering ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST003644;Normal/Akutt;Det lyser rødt og blinker når apparatet settes på.;001981;Diatermi, universal, komplett;Surgistat;;;;;05.05.1994;05.05.1994;Rune Otto Andreassen (ANRO);"Alarmerer dersom plate ikke er tilkoplet ved påslag. Uvanlig dur ved          
aktivering. Pasient-plate-adapter satt løst. Mutter var løs --> Festet. OK!   
Den dårlige kontakten medførte noe gnistring i ledningskontakt inni app.    
ved adapterfestet.";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;5-1;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;192,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST003645;Normal/Akutt;"1 atraumatisk tang uten isolasjon og 1 bipolar tang ble brukt ved             
laparoskopi. Fikk alarm og feilmelding.";004028;Diatermi, universal, komplett;10128;;;;;20.05.1994;20.05.1994;Rune Otto Andreassen (ANRO);"Full sjekk av apparatet. Feilmelding: ERR.1 = sannsynligvis feil på           
tilkoplingsutstyret. Feil oppstår ved aktivering ( => tilsvarer ERR.36 under  
oppstart). Kontrollert og sikkerhetstestet i hht SAFETY CHECKS.";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;114393;"Dagkirurgi SYD ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;48,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST003718;Normal/Akutt;Feil på bipolar ;004030;Diatermi, universal, komplett;10128;21.09.1999;;;;05.03.1997;05.03.1997;Rune Otto Andreassen (ANRO);"Testet: Ingen feil på bipolar. Tilkoplingsutstyr                             
Sjekket error-liste og på grunnlag av ERR40 gått inn på TEST16-12. Justert    
pulsrepetisjonsfrekvens (se notater,ROA). Pot.meter TP17,control-board, må    
muligens byttes. Avventer.                                                    
Ny software-versjon (VER 1.05) innstallert --> kan velge NESSY-versjon        
-satt til VER.3 =>split electrodes only.                                      
Festet NE-kontakt i apparat.                                                  
Funksjons- og sikkerhetstestet : OK!";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;4204466;"Sentraloperasjon 1 ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;48,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST003973;Normal/Akutt;Sto og blinket på feildosering;004033;Diatermi, universal, komplett;10128;03.12.1999;;;;28.07.1997;28.07.1997;Rune Otto Andreassen (ANRO);"Test 16-12: Auto Cut = 77-80.                                                 
Banket litt på TP17 (pot.)  -> Auto Cut-display falt til 20. Justert til 0..1 
( måtte løsne pot.meter, finstilte etterpå)";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;4204466;"Sentraloperasjon 1 ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;0,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST004080;Normal/Akutt;Lyser rødt på feildosering ved bruk av Auto Coag.;004396;Diatermi, universal, komplett;10128;;;;;29.10.1997;29.10.1997;Rune Otto Andreassen (ANRO);"TEST 16-12: Auto Cut-display viser 4-5. Finjustert til 0..1. Pulslengde 220   
ns. (OK) Avstand mellom pulser ( i TEST-mode) = 14,8mikrosek. =>67,6kHz.      
OBS!:Får lavere uteffekter når avdelingens tilbehør brukes, kontra test med   
mine kabler/penn. (10-15 W lavere).                                           
Se forøvrig notater.";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;114393;"Dagkirurgi SYD ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;192,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST004081;Normal/Akutt;Rød lampe output error lyser, også når diatermipennen ikke er aktivert.;004030;Diatermi, universal, komplett;10128;21.09.1999;;;;27.10.1997;27.10.1997;Rune Otto Andreassen (ANRO);"Sjekket feilmeldinger. Testet 16-12. Justert TP17 (pulsrep.freq.)             
34 -> 0-1. Sjekket noen uteffekter. OK!                                       
Testet funksjonsmessig: OK!";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;4204466;"Sentraloperasjon 1 ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;720,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST004296;Normal/Akutt;Feilmelding ved påslag;004028;Diatermi, universal, komplett;10128;;;;;16.02.1998;16.02.1998;Rune Otto Andreassen (ANRO);"ERROR-LISTE: 1=48, 2=35, 3=50                                                 
TEST 16-12: Auto Cut-display viser 1..2  --> OK!                              
Dersom feilmelding kommer ved påslag, kan dette skyldes tilbehør som er       
tilkoplet når apparatet slås på.                                              
Fant ingen andre feil. (Plassering: Gyn.Opr.) Prøv igjen.";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;114393;"Dagkirurgi SYD ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;1,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST004297;Normal/Akutt;"ERR.3 i oppstart. Etter selvtest bl.a. av lysdioder, hang output error        
 seg (lyste).";004397;Diatermi, universal, komplett;10128;;;;;09.02.1998;09.02.1998;Rune Otto Andreassen (ANRO);"ERROR-LISTE: 1=3, 2=1, 3=21, 4=10, 5=11.                                      
TEST 16-12: Auto Cut-display viser 5 = OK!                                    
Apparatet ble tatt ut og erstattet med annet, penn flyttet over. Etter en     
stund fikk brukerne problemer med dette apparatet også, samme feil. Penn ble  
skiftet og feil forsvant. OK!                                                 
                                                                              
Feil i utgangspunktet på penn.()";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;114393;"Dagkirurgi SYD ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;2,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST004574;Normal/Akutt;Apparat falt i gulvet. Fester til tralle knekt.;005582;Diatermi, universal, komplett;10128-032;12.02.2013;;;;16.07.1998;16.07.1998;Rune Otto Andreassen (ANRO);"Hele trallen med apparat har vært i gulvet. Vinkler for kabelparkering var  
bøyd, og har tatt av for fallet. Da apparatet falt på rygg, vippet          
diatermien og fester til trallen knakk.                                       
UTFØRT: Satt på nye fester. Rettet bøyde deler på tralle. Testet bruksmessig: 
OK!";"Operasjon Øst ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;4204466;"Sentraloperasjon 1 ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;1,00;"Operasjon Øst ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST004576;Normal/Akutt;"Periodisk err.3 ved påslag. Periodisk err.2 og 48.                            
Sendt firma.";004397;Diatermi, universal, komplett;10128;;;;;10.07.1998;10.07.1998;* Originale data (!SYS);"Fra firma: Apparatet er feilsøkt - ingen feil funnet. Kontrollert generator - 
kalibrering. Funksjonstestet over tid -> OK!  
                                
Problem igjen nov.1998: Sendt inn. Skiftet div. deler, bl.a. ST-gen. OK !  (anm.: )";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;114393;"Dagkirurgi SYD ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;1 200,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST004705;Normal/Akutt;Feildosering i bipolar.;004030;Diatermi, universal, komplett;10128;21.09.1999;;;;19.10.1998;19.10.1998;Rune Otto Andreassen (ANRO);"Fant ingen problem med bipolar. Ingen feilmeldinger indikerer problem.        
Uteffekter -> OK! Test 16-12: Auto cut = 8-10. Skiftet TP17-pot.meter         
(20kohm) og justert til 0 (pga stadig tilbakevendende problem).               
Sjekket app.: OK!";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;4204466;"Sentraloperasjon 1 ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;4,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HST004707;Normal/Akutt;"Lyser rødt på feildosering/ output error ved bruk av autokoagulasjon (2)      
forced.";004033;Diatermi, universal, komplett;10128;03.12.1999;;;;19.10.1998;19.10.1998;Rune Otto Andreassen (ANRO);"Test 16-12: auto cut viser 40. Feildoseringslampe lyser.                      
Justert TP17 til 0..1. Effekt ut: Cut(300W,effekt4) = 292W                    
Forced coag.(120W) = 111W    -->  OK!";"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;4204466;"Sentraloperasjon 1 ; Operasjonsavdeling ; Klinikk A ; Helse Stavanger HF ; Helse Vest RHF";;;0,00;480,00;"Kassasjon ;  ;  ; Avdeling for medisinsk teknologi og informatikk ; Klinikk for Medisinsk teknologi ; Helse Stavanger HF ; Helse Vest RHF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
